date,away_team,away_q1,away_q2,away_q3,away_q4,away_OT,away_final,home_team,home_q1,home_q2,home_q3,home_q4,home_OT,home_final
2016-10-25,NYK,18,27,19,24,0,88,CLE,28,20,34,35,0,117
2016-10-28,CLE,28,22,21,23,0,94,TOR,23,17,27,24,0,91
2016-10-29,ORL,20,25,17,37,0,99,CLE,33,29,18,25,0,105
2016-11-01,HOU,35,24,25,36,0,120,CLE,29,34,22,43,0,128
2016-11-03,BOS,25,26,32,39,0,122,CLE,36,32,32,28,0,128
2016-11-05,CLE,34,23,25,20,0,102,PHI,19,27,34,21,0,101
2016-11-08,ATL,20,33,31,26,0,110,CLE,20,22,37,27,0,106
2016-11-11,CLE,26,32,26,21,0,105,WAS,31,25,19,19,0,94
2016-11-13,CHO,22,32,18,21,0,93,CLE,32,20,19,29,0,100
2016-11-15,TOR,25,32,27,33,0,117,CLE,30,31,30,30,0,121
2016-11-16,CLE,19,26,23,25,0,93,IND,30,20,30,23,0,103
2016-11-18,DET,19,20,17,25,0,81,CLE,30,26,26,22,0,104
2016-11-23,POR,31,29,32,33,0,125,CLE,46,35,31,25,0,137
2016-11-25,DAL,16,22,17,35,0,90,CLE,36,36,24,32,0,128
2016-11-27,CLE,24,28,25,35,0,112,PHI,30,28,23,27,0,108
2016-11-29,CLE,32,22,20,27,0,101,MIL,30,28,34,26,0,118
2016-12-01,LAC,24,34,27,28,0,113,CLE,28,22,15,29,0,94
2016-12-02,CLE,33,27,20,25,0,105,CHI,30,29,29,23,0,111
2016-12-05,CLE,30,32,28,26,0,116,TOR,27,34,20,31,0,112
2016-12-07,CLE,36,27,29,34,0,126,NYK,26,22,17,29,0,94
2016-12-09,MIA,27,19,23,15,0,84,CLE,31,26,30,27,0,114
2016-12-10,CHO,26,26,29,24,0,105,CLE,36,31,25,24,0,116
2016-12-13,MEM,20,23,15,28,0,86,CLE,32,26,15,30,0,103
2016-12-14,CLE,16,20,17,32,0,85,MEM,28,19,27,19,0,93
2016-12-17,LAL,31,28,24,25,0,108,CLE,26,36,27,30,0,119
2016-12-20,CLE,35,22,27,16,14,114,MIL,27,26,25,22,8,108
2016-12-21,MIL,22,32,23,25,0,102,CLE,31,28,33,21,0,113
2016-12-23,BRK,15,25,17,42,0,99,CLE,29,37,32,21,0,119
2016-12-25,GSW,27,28,32,21,0,108,CLE,25,27,28,29,0,109
2016-12-26,CLE,19,25,20,26,0,90,DET,22,28,26,30,0,106
2016-12-29,BOS,25,34,24,35,0,118,CLE,32,34,35,23,0,124
2016-12-31,CLE,35,36,28,22,0,121,CHO,28,31,23,27,0,109
2017-01-02,NOP,22,21,26,13,0,82,CLE,15,29,23,23,0,90
2017-01-04,CHI,16,36,31,23,0,106,CLE,23,23,28,20,0,94
2017-01-06,CLE,24,26,36,30,0,116,BRK,20,19,29,40,0,108
2017-01-08,CLE,41,28,24,27,0,120,PHO,28,25,37,26,0,116
2017-01-10,CLE,29,12,25,26,0,92,UTA,29,27,19,25,0,100
2017-01-11,CLE,20,21,20,25,0,86,POR,27,22,24,29,0,102
2017-01-13,CLE,32,29,23,36,0,120,SAC,15,28,31,34,0,108
